"Ref","Value","Footprint","Datasheet","Pins","Library","Symbol","PartNumber"
"J5","B24B-PHDSS(LF)(SN)","Daxxn_Connectors:B24B-PHDSS(LF)(SN)","~","24","Connector_Generic","Conn_02x12_Odd_Even",""
"JP1","BRT-JMP","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","3","Jumper","Jumper_3_Bridged12",""
"R1","120${R}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R2","560${R}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R3","${LED-RES}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R4","${LED-RES}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R5","470${R}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R6","${LED-RES}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R7","3K${R}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R8","5.6K${R}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R9","${P-RES}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R10","${P-RES}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R11","${P-RES}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R12","${P-RES}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R13","220${R}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R14","220${R}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R15","220${R}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"R17","${P-RES}","Resistor_SMD:R_0805_2012Metric","~","2","Device","R_Small_US",""
"RV1","10K${R}","Daxxn_Switches:PT01-D120K2-B103","~","3","Device","R_Potentiometer_US",""
"RV2","1K${R}","Daxxn_Switches:PT01-D120K2-B103","~","3","Device","R_Potentiometer_US",""
"S-ACT1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"S-BCK1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"S-DWN1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"S-LFT1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"S-RGT1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"S-UP1","ILS","Daxxn_Switches:ILS-TB","C:\Users\Daxxn\Documents\Electrical\Datasheets\ILS-Series.pdf","4","Daxxn_Buttons","ILS",""
"SW1","RESET-SW","Daxxn_Switches:TL3365AF180QG","~","2","Switch","SW_SPST",""
"U1","STP16CP05","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm","https://www.st.com/resource/en/datasheet/stp16cp05.pdf","24","Driver_LED","STP16CP05",""
"U2","TPL0401B-10-Q1","Package_TO_SOT_SMD:Texas_R-PDSO-G6","http://www.ti.com/lit/ds/symlink/tpl0401a-10-q1.pdf","6","Potentiometer_Digital","TPL0401B-10-Q1",""
"U3","74AUP2G04","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.diodes.com/assets/Datasheets/74AUP2G04.pdf","6","Daxxn_Logic","74AUP2G04",""
"U4","PC817","Package_DIP:DIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf","4","Isolator","PC817",""
end
"Source","C:\Users\Daxxn\Documents\Electrical\KiCad\Designs\Projects\LightDrum\LightDrumInterface\LightDrumInterface.kicad_sch"
"Date","11/19/2022 10:03:53 PM"
"PartCount","59"
